Sample                    | Field           | Result               | Answer               | Status
-----------------------------------------------------------------------------------------------
sample_01                 | date            | 2026-02-02           | 2026-02-02           | ✅
sample_01                 | vehicle_num     | 8713                 | 8713                 | ✅
sample_01                 | total_weight    | 12480                | 12480                | ✅
sample_01                 | tare_weight     | 7470                 | 7470                 | ✅
sample_01                 | net_weight      | 5010                 | 5010                 | ✅
sample_01                 | company         | 곰욕환경폐기물품종명랑05        | 곰욕환경폐기물              | ❌
sample_01                 | product         | None                 | None                 | ✅
sample_01                 | type            | None                 | None                 | ✅
sample_01                 | ticket_id       | None                 | 0016                 | ❌
sample_01                 | issuer          | 동우바이오(주)             | 동우바이오(주)             | ✅
sample_02                 | date            | 2026-02-02           | 2026-02-02           | ✅
sample_02                 | vehicle_num     | 80구8713              | 80구8713              | ✅
sample_02                 | total_weight    | 13460                | 13460                | ✅
sample_02                 | tare_weight     | 7560                 | 7560                 | ✅
sample_02                 | net_weight      | 5900                 | 5900                 | ✅
sample_02                 | company         | 고요환경                 | 고요환경                 | ✅
sample_02                 | product         | 식물                   | 식물                   | ✅
sample_02                 | type            | 입고                   | 입고                   | ✅
sample_02                 | ticket_id       | 010889               | 010889               | ✅
sample_02                 | issuer          | 장원C&S                | 장원C&S                | ✅
sample_03                 | date            | 2026-02-01           | 2026-02-01           | ✅
sample_03                 | vehicle_num     | 5405                 | 5405                 | ✅
sample_03                 | total_weight    | 14080                | 14080                | ✅
sample_03                 | tare_weight     | 13950                | 13950                | ✅
sample_03                 | net_weight      | 130                  | 130                  | ✅
sample_03                 | company         | None                 | None                 | ✅
sample_03                 | product         | None                 | None                 | ✅
sample_03                 | type            | 입고                   | 입고                   | ✅
sample_03                 | ticket_id       | None                 | 5                    | ❌
sample_03                 | issuer          | 정우리사이클링 (주)          | 정우리사이클링(주)           | ✅
sample_04                 | date            | 2025-12-01           | 2025-12-01           | ✅
sample_04                 | vehicle_num     | 0580                 | 0580                 | ✅
sample_04                 | total_weight    | 14230                | 14230                | ✅
sample_04                 | tare_weight     | 12910                | 12910                | ✅
sample_04                 | net_weight      | 1320                 | 1320                 | ✅
sample_04                 | company         | 신성(푸디스트)             | 신성(푸디스트)             | ✅
sample_04                 | product         | 국판                   | 국판                   | ✅
